"replication","supremum"
1,2.54135296806896
2,0.217387367798617
3,0.780638695768106
4,2.29123223215117
5,0.965574883535178
6,1.65573045070372
7,0.579440194952048
8,0.476084918774551
9,0.571336393174192
10,0.518609555885738
11,1.573323845446
12,0.399736795885192
13,0.324819041212586
14,1.42847545917801
15,0.347153697951853
16,0.673134089758434
17,0.980577169078126
18,1.47956289261207
19,1.3241590731327
20,1.56323410204372
21,1.27552480266922
22,1.70728033064851
23,1.91642916717549
24,1.83129642487633
25,0.874218822170612
26,0.450304221018633
27,1.56775782233045
28,0.378716951226506
29,0.561698918323584
30,2.33721038306818
31,1.09207135736565
32,1.79557292082696
33,1.14716835717073
34,1.16692982104439
35,1.15644717998182
36,1.06789994224813
37,0.133752570803903
38,1.04184258326887
39,2.04434127902813
40,1.37716966026294
41,0.893005769432734
42,1.8256226481523
43,0.485992574238857
44,1.67315577161115
45,1.03600226171795
46,1.68364663371136
47,2.73230483959395
48,1.79609755058873
49,1.05003772984716
50,1.93786849399064
51,1.34391989854042
52,0.56594055122446
53,0.376870647906538
54,2.01420514588937
55,0.113371519601389
56,0.466684757551034
57,0.701553383922174
58,0.730997232608645
59,1.12878227696527
60,0.512610459572915
61,0.807906955048719
62,0.691734126809285
63,0.560849113909922
64,1.22178035498351
65,0.642465109571415
66,1.76626988648701
67,0.718186229336241
68,0.199719784234241
69,1.16909217295557
70,1.62665576981035
71,1.61529924000849
72,0.297395070474194
73,2.53049436989856
74,1.78407003408608
75,0.698182324030561
76,1.46226197045334
77,0.481641220737858
78,1.05572057857346
79,0.191699523103658
80,1.84007810026391
81,0.383696662490654
82,0.257680319034681
83,1.30051800516207
84,0.217244599349973
85,1.30266131240827
86,0.614109009427429
87,1.10335012369753
88,0.28534381889267
89,1.269323493596
90,2.47913014337233
91,0.485682683003638
92,0.760176435885327
93,1.27550000042447
94,1.08936884739733
95,1.01162632208509
96,1.49556792682717
97,1.22667424398961
98,0.440735001038061
99,1.29280112373016
100,1.13181029438395
101,0.894943667214792
102,0.762211333250967
103,0.858725075145553
104,0.778325033660416
105,0.433571672808024
106,1.24424018336897
107,1.50721093714075
108,0.476694041577241
109,1.65265993245637
110,0.69470052550365
111,1.34643445076163
112,1.48628769400373
113,2.68635690662425
114,0.573684210031285
115,1.55516332175737
116,0.186954951110384
117,1.26683385637085
118,0.605580944021212
119,1.11646343778127
120,1.12010596987879
121,0.742292944692422
122,1.00382569338651
123,0.381267938654589
124,1.0471162563783
125,1.18942905661794
126,1.10729497157854
127,0.204726924209086
128,1.90621841365979
129,1.59282422534088
130,0.0437687502455134
131,0.626187693241574
132,1.037108480703
133,1.80742240215637
134,0.702430790156461
135,0.6490960505466
136,1.56784697949647
137,0.605690557251701
